path	name	description	domain	subdomain	tags
skills/analyzing-cyber-kill-chain/SKILL.md	analyzing-cyber-kill-chain	'Analyzes intrusion activity against the Lockheed Martin Cyber Kill Chain	cybersecurity	threat-intelligence	 kill-chain Lockheed-Martin MITRE-ATT&CK intrusion-analysis defense-in-depth NIST-CSF
skills/analyzing-disk-image-with-autopsy/SKILL.md	analyzing-disk-image-with-autopsy	Perform comprehensive forensic analysis of disk images using Autopsy	cybersecurity	digital-forensics	 forensics autopsy disk-analysis sleuth-kit file-recovery artifact-analysis
skills/analyzing-dns-logs-for-exfiltration/SKILL.md	analyzing-dns-logs-for-exfiltration	'Analyzes DNS query logs to detect data exfiltration via DNS tunneling,	cybersecurity	soc-operations	 soc dns exfiltration dns-tunneling dga c2-detection splunk threat-detection
skills/analyzing-docker-container-forensics/SKILL.md	analyzing-docker-container-forensics	Investigate compromised Docker containers by analyzing images, layers,	cybersecurity	digital-forensics	 forensics docker container-forensics container-security image-analysis runtime-investigation
skills/analyzing-email-headers-for-phishing-investigation/SKILL.md	analyzing-email-headers-for-phishing-investigation	Parse and analyze email headers to trace the origin of phishing emails,	cybersecurity	digital-forensics	 forensics email-analysis phishing spf dkim dmarc header-analysis
skills/analyzing-ethereum-smart-contract-vulnerabilities/SKILL.md	analyzing-ethereum-smart-contract-vulnerabilities	Perform static and symbolic analysis of Solidity smart contracts using	cybersecurity	blockchain-security	 ethereum solidity smart-contract slither mythril blockchain defi audit
skills/analyzing-golang-malware-with-ghidra/SKILL.md	analyzing-golang-malware-with-ghidra	Reverse engineer Go-compiled malware using Ghidra with specialized scripts	cybersecurity	malware-analysis	 golang ghidra reverse-engineering malware-analysis binary-analysis go-malware disassembly
skills/analyzing-heap-spray-exploitation/SKILL.md	analyzing-heap-spray-exploitation	Detect and analyze heap spray attacks in memory dumps using Volatility3	cybersecurity	malware-analysis	 malware-analysis memory-forensics heap-spray volatility3 exploit-analysis
skills/analyzing-indicators-of-compromise/SKILL.md	analyzing-indicators-of-compromise	'Analyzes indicators of compromise (IOCs) including IP addresses, domains,	cybersecurity	threat-intelligence	 IOC VirusTotal AbuseIPDB MalwareBazaar MISP threat-intelligence STIX NIST-CSF
skills/analyzing-ios-app-security-with-objection/SKILL.md	analyzing-ios-app-security-with-objection	>-	cybersecurity	mobile-security	 mobile-security ios objection frida owasp-mobile penetration-testing
skills/analyzing-kubernetes-audit-logs/SKILL.md	analyzing-kubernetes-audit-logs	'Parses Kubernetes API server audit logs (JSON lines) to detect exec-into-pod,	cybersecurity	container-security	 kubernetes-security container-security audit-log-analysis rbac privilege-escalation k8s-api-server threat-detection
skills/analyzing-linux-audit-logs-for-intrusion/SKILL.md	analyzing-linux-audit-logs-for-intrusion	'Uses the Linux Audit framework (auditd) with ausearch and aureport utilities	cybersecurity	incident-response	 auditd ausearch aureport linux-security intrusion-detection HIDS forensics
skills/analyzing-linux-elf-malware/SKILL.md	analyzing-linux-elf-malware	'Analyzes malicious Linux ELF (Executable and Linkable Format) binaries	cybersecurity	malware-analysis	 malware Linux ELF reverse-engineering server-malware
skills/analyzing-linux-kernel-rootkits/SKILL.md	analyzing-linux-kernel-rootkits	Detect kernel-level rootkits in Linux memory dumps using Volatility3	cybersecurity	digital-forensics	 rootkit linux kernel volatility3 memory-forensics malware-analysis rkhunter forensics
skills/analyzing-linux-system-artifacts/SKILL.md	analyzing-linux-system-artifacts	Examine Linux system artifacts including auth logs, cron jobs, shell	cybersecurity	digital-forensics	 forensics linux-forensics system-artifacts log-analysis persistence-detection incident-investigation
skills/analyzing-lnk-file-and-jump-list-artifacts/SKILL.md	analyzing-lnk-file-and-jump-list-artifacts	Analyze Windows LNK shortcut files and Jump List artifacts to establish	cybersecurity	digital-forensics	 lnk-files jump-lists lecmd jlecmd windows-forensics shell-link user-activity file-access program-execution recent-files
skills/analyzing-macro-malware-in-office-documents/SKILL.md	analyzing-macro-malware-in-office-documents	'Analyzes malicious VBA macros embedded in Microsoft Office documents	cybersecurity	malware-analysis	 malware macro Office VBA document-malware
skills/analyzing-malicious-pdf-with-peepdf/SKILL.md	analyzing-malicious-pdf-with-peepdf	Perform static analysis of malicious PDF documents using peepdf, pdfid,	cybersecurity	malware-analysis	 malware-analysis pdf peepdf pdfid pdf-parser static-analysis reverse-engineering dfir
skills/analyzing-malicious-url-with-urlscan/SKILL.md	analyzing-malicious-url-with-urlscan	URLScan.io is a free service for scanning and analyzing suspicious URLs.	cybersecurity	phishing-defense	 phishing email-security social-engineering dmarc awareness url-analysis threat-intelligence
skills/analyzing-malware-behavior-with-cuckoo-sandbox/SKILL.md	analyzing-malware-behavior-with-cuckoo-sandbox	'Executes malware samples in Cuckoo Sandbox to observe runtime behavior	cybersecurity	malware-analysis	 malware dynamic-analysis sandbox Cuckoo behavioral-analysis
skills/analyzing-malware-family-relationships-with-malpedia/SKILL.md	analyzing-malware-family-relationships-with-malpedia	Use the Malpedia platform and API to research malware family relationships,	cybersecurity	threat-intelligence	 malpedia malware-family yara threat-actor malware-tracking threat-intelligence variant-analysis malware-intelligence
skills/analyzing-malware-persistence-with-autoruns/SKILL.md	analyzing-malware-persistence-with-autoruns	Use Sysinternals Autoruns to systematically identify and analyze malware	cybersecurity	malware-analysis	 autoruns persistence malware-analysis sysinternals windows registry startup incident-response
skills/analyzing-malware-sandbox-evasion-techniques/SKILL.md	analyzing-malware-sandbox-evasion-techniques	Detect sandbox evasion techniques in malware samples by analyzing timing	cybersecurity	malware-analysis	 sandbox-evasion malware-analysis cuckoo anyrun mitre-attack virtualization-detection behavioral-analysis
skills/analyzing-memory-dumps-with-volatility/SKILL.md	analyzing-memory-dumps-with-volatility	'Analyzes RAM memory dumps from compromised systems using the Volatility framework to identify malicious processes,	cybersecurity	malware-analysis	 malware memory-forensics Volatility RAM-analysis incident-response
skills/analyzing-memory-forensics-with-lime-and-volatility/SKILL.md	analyzing-memory-forensics-with-lime-and-volatility	'Performs Linux memory acquisition using LiME (Linux Memory Extractor)	cybersecurity	security-operations	 memory-forensics linux-forensics lime volatility incident-response kernel-modules
skills/analyzing-mft-for-deleted-file-recovery/SKILL.md	analyzing-mft-for-deleted-file-recovery	Analyze the NTFS Master File Table ($MFT) to recover metadata and content	cybersecurity	digital-forensics	 mft ntfs deleted-files file-recovery mftecmd usn-journal logfile mft-slack-space file-system-forensics dfir
skills/analyzing-network-covert-channels-in-malware/SKILL.md	analyzing-network-covert-channels-in-malware	Detect and analyze covert communication channels used by malware including	cybersecurity	malware-analysis	 covert-channels dns-tunneling icmp-exfiltration malware-analysis network-forensics c2-detection data-exfiltration
skills/analyzing-network-flow-data-with-netflow/SKILL.md	analyzing-network-flow-data-with-netflow	Parse NetFlow v9 and IPFIX records to detect volumetric anomalies, port	cybersecurity	network-security	 analyzing network flow data
skills/analyzing-network-packets-with-scapy/SKILL.md	analyzing-network-packets-with-scapy	Craft, send, sniff, and dissect network packets using Scapy for protocol	cybersecurity	network-security	 scapy packet-analysis network-forensics protocol-dissection pcap traffic-analysis
skills/analyzing-network-traffic-for-incidents/SKILL.md	analyzing-network-traffic-for-incidents	'Analyzes network traffic captures and flow data to identify adversary activity during security incidents, including	cybersecurity	incident-response	 network-forensics PCAP-analysis Wireshark Zeek traffic-analysis
skills/analyzing-network-traffic-of-malware/SKILL.md	analyzing-network-traffic-of-malware	'Analyzes network traffic generated by malware during sandbox execution	cybersecurity	malware-analysis	 malware network-analysis PCAP Wireshark C2-detection
skills/analyzing-network-traffic-with-wireshark/SKILL.md	analyzing-network-traffic-with-wireshark	'Captures and analyzes network packet data using Wireshark and tshark	cybersecurity	network-security	 network-security wireshark packet-analysis traffic-analysis pcap
skills/analyzing-office365-audit-logs-for-compromise/SKILL.md	analyzing-office365-audit-logs-for-compromise	Parse Office 365 Unified Audit Logs via Microsoft Graph API to detect	cybersecurity	cloud-security	 Office365 Microsoft-Graph audit-logs email-compromise inbox-rules OAuth BEC
skills/analyzing-outlook-pst-for-email-forensics/SKILL.md	analyzing-outlook-pst-for-email-forensics	Analyze Microsoft Outlook PST and OST files for email forensic evidence	cybersecurity	digital-forensics	 email-forensics pst ost outlook mapi email-headers attachments deleted-emails libpff eml-extraction
skills/analyzing-packed-malware-with-upx-unpacker/SKILL.md	analyzing-packed-malware-with-upx-unpacker	'Identifies and unpacks UPX-packed and other packed malware samples to	cybersecurity	malware-analysis	 malware unpacking UPX packing static-analysis
skills/analyzing-pdf-malware-with-pdfid/SKILL.md	analyzing-pdf-malware-with-pdfid	'Analyzes malicious PDF files using PDFiD, pdf-parser, and peepdf to	cybersecurity	malware-analysis	 malware PDF-analysis document-malware PDFiD static-analysis
skills/analyzing-persistence-mechanisms-in-linux/SKILL.md	analyzing-persistence-mechanisms-in-linux	Detect and analyze Linux persistence mechanisms including crontab entries,	cybersecurity	threat-hunting	 linux-persistence crontab systemd ld-preload auditd threat-hunting incident-response
skills/analyzing-powershell-empire-artifacts/SKILL.md	analyzing-powershell-empire-artifacts	Detect PowerShell Empire framework artifacts in Windows event logs by	cybersecurity	threat-hunting	 PowerShell-Empire threat-hunting Script-Block-Logging base64 stager C2 MITRE-ATT&CK T1059.001 forensics
skills/analyzing-powershell-script-block-logging/SKILL.md	analyzing-powershell-script-block-logging	Parse Windows PowerShell Script Block Logs (Event ID 4104) from EVTX	cybersecurity	security-operations	 powershell script-block-logging event-id-4104 obfuscation-detection windows-forensics endpoint-security
skills/analyzing-prefetch-files-for-execution-history/SKILL.md	analyzing-prefetch-files-for-execution-history	Parse Windows Prefetch files to determine program execution history including	cybersecurity	digital-forensics	 forensics prefetch windows-artifacts execution-history timeline-analysis evidence-collection
skills/analyzing-ransomware-encryption-mechanisms/SKILL.md	analyzing-ransomware-encryption-mechanisms	'Analyzes encryption algorithms, key management, and file encryption	cybersecurity	malware-analysis	 malware ransomware encryption cryptanalysis reverse-engineering
skills/analyzing-ransomware-leak-site-intelligence/SKILL.md	analyzing-ransomware-leak-site-intelligence	Monitor and analyze ransomware group data leak sites (DLS) to track victim	cybersecurity	threat-intelligence	 ransomware leak-site data-leak extortion threat-intelligence leak-site-monitoring dls victim-tracking
skills/analyzing-ransomware-network-indicators/SKILL.md	analyzing-ransomware-network-indicators	Identify ransomware network indicators including C2 beaconing patterns,	cybersecurity	threat-hunting	 ransomware c2-beaconing zeek netflow tor exfiltration network-forensics
skills/analyzing-ransomware-payment-wallets/SKILL.md	analyzing-ransomware-payment-wallets	'Traces ransomware cryptocurrency payment flows using blockchain analysis	cybersecurity	ransomware-defense	 ransomware blockchain cryptocurrency forensics threat-intelligence bitcoin
skills/analyzing-sbom-for-supply-chain-vulnerabilities/SKILL.md	analyzing-sbom-for-supply-chain-vulnerabilities	'Parses Software Bill of Materials (SBOM) in CycloneDX and SPDX JSON	cybersecurity	supply-chain-security	 SBOM CycloneDX SPDX NVD CVE supply-chain dependency-analysis syft grype
skills/analyzing-security-logs-with-splunk/SKILL.md	analyzing-security-logs-with-splunk	'Leverages Splunk Enterprise Security and SPL (Search Processing Language)	cybersecurity	incident-response	 splunk SPL SIEM log-analysis security-monitoring
skills/analyzing-slack-space-and-file-system-artifacts/SKILL.md	analyzing-slack-space-and-file-system-artifacts	Examine file system slack space, MFT entries, USN journal, and alternate	cybersecurity	digital-forensics	 forensics slack-space ntfs mft usn-journal alternate-data-streams file-system-analysis
skills/analyzing-supply-chain-malware-artifacts/SKILL.md	analyzing-supply-chain-malware-artifacts	Investigate supply chain attack artifacts including trojanized software	cybersecurity	malware-analysis	 supply-chain malware-analysis trojanized-software solarwinds 3cx dependency-confusion software-integrity
skills/analyzing-threat-actor-ttps-with-mitre-attack/SKILL.md	analyzing-threat-actor-ttps-with-mitre-attack	MITRE ATT&CK is a globally-accessible knowledge base of adversary tactics,	cybersecurity	threat-intelligence	 threat-intelligence cti ioc mitre-attack stix ttp-analysis threat-actors
skills/analyzing-threat-actor-ttps-with-mitre-navigator/SKILL.md	analyzing-threat-actor-ttps-with-mitre-navigator	'Map advanced persistent threat (APT) group tactics, techniques, and	cybersecurity	threat-intelligence	 mitre-attack navigator threat-intelligence apt ttp-mapping stix attackcti
skills/analyzing-threat-intelligence-feeds/SKILL.md	analyzing-threat-intelligence-feeds	'Analyzes structured and unstructured threat intelligence feeds to extract	cybersecurity	threat-intelligence	 STIX TAXII MITRE-ATT&CK IOC ThreatConnect Recorded-Future MISP CTI NIST-CSF
skills/analyzing-threat-landscape-with-misp/SKILL.md	analyzing-threat-landscape-with-misp	Analyze the threat landscape using MISP (Malware Information Sharing	cybersecurity	threat-intelligence	 threat-intelligence misp threat-landscape ioc-analysis cti threat-sharing
skills/analyzing-tls-certificate-transparency-logs/SKILL.md	analyzing-tls-certificate-transparency-logs	'Queries Certificate Transparency logs via crt.sh and pycrtsh to detect	cybersecurity	security-operations	 certificate-transparency ct-logs crt-sh phishing-detection tls-monitoring security-operations
skills/analyzing-typosquatting-domains-with-dnstwist/SKILL.md	analyzing-typosquatting-domains-with-dnstwist	Detect typosquatting, homograph phishing, and brand impersonation domains	cybersecurity	threat-intelligence	 dnstwist typosquatting phishing domain-monitoring brand-protection homograph dns threat-intelligence
skills/analyzing-uefi-bootkit-persistence/SKILL.md	analyzing-uefi-bootkit-persistence	'Analyzes UEFI bootkit persistence mechanisms including firmware implants	cybersecurity	firmware-security	 UEFI bootkit firmware Secure-Boot chipsec ESP persistence
skills/analyzing-usb-device-connection-history/SKILL.md	analyzing-usb-device-connection-history	Investigate USB device connection history from Windows registry, event	cybersecurity	digital-forensics	 forensics usb-forensics removable-media registry-analysis data-exfiltration device-history
skills/analyzing-web-server-logs-for-intrusion/SKILL.md	analyzing-web-server-logs-for-intrusion	Parse Apache and Nginx access logs to detect SQL injection attempts,	cybersecurity	security-operations	 web-log-analysis apache-logs nginx-logs sql-injection-detection lfi-detection directory-traversal intrusion-detection
skills/analyzing-windows-amcache-artifacts/SKILL.md	analyzing-windows-amcache-artifacts	'Parses and analyzes the Windows Amcache.hve registry hive to extract	cybersecurity	digital-forensics	 amcache windows-forensics program-execution AmcacheParser eric-zimmerman timeline-analysis DFIR
skills/analyzing-windows-event-logs-in-splunk/SKILL.md	analyzing-windows-event-logs-in-splunk	'Analyzes Windows Security, System, and Sysmon event logs in Splunk to	cybersecurity	soc-operations	 soc splunk windows-events sysmon event-logs mitre-attack active-directory
skills/analyzing-windows-lnk-files-for-artifacts/SKILL.md	analyzing-windows-lnk-files-for-artifacts	Parse Windows LNK shortcut files to extract target paths, timestamps,	cybersecurity	digital-forensics	 forensics lnk-files windows-artifacts shortcut-analysis timeline-reconstruction evidence-collection
skills/analyzing-windows-prefetch-with-python/SKILL.md	analyzing-windows-prefetch-with-python	Parse Windows Prefetch files using the windowsprefetch Python library	cybersecurity	digital-forensics	 digital-forensics windows prefetch execution-history incident-response malware-analysis
skills/analyzing-windows-registry-for-artifacts/SKILL.md	analyzing-windows-registry-for-artifacts	Extract and analyze Windows Registry hives to uncover user activity,	cybersecurity	digital-forensics	 forensics windows-registry artifact-analysis regripper registry-explorer evidence-collection
skills/analyzing-windows-shellbag-artifacts/SKILL.md	analyzing-windows-shellbag-artifacts	Analyze Windows Shellbag registry artifacts to reconstruct folder browsing	cybersecurity	digital-forensics	 shellbags windows-registry sbecmd shellbags-explorer folder-access user-activity removable-media network-shares bagmru dfir
skills/assessing-vector-and-embedding-weaknesses/SKILL.md	assessing-vector-and-embedding-weaknesses	Test vector stores for embedding inversion, cross-tenant leakage, and poisoning.	cybersecurity	ai-security	 ai-security vector-database embedding-inversion rag-security owasp-llm08 multi-tenant-isolation data-poisoning retrieval-augmented-generation
skills/attacking-entra-id-with-roadtools/SKILL.md	attacking-entra-id-with-roadtools	Enumerate Entra ID with ROADrecon and acquire and exchange tokens with roadtx.	cybersecurity	identity-access-management	 red-team entra-id azure-ad roadtools token-manipulation cloud-enumeration primary-refresh-token identity-attack
skills/attacking-oauth-with-device-code-phishing/SKILL.md	attacking-oauth-with-device-code-phishing	Run OAuth 2.0 device-code and illicit-consent phishing against Microsoft Entra ID to steal access and refresh tokens, bypass MFA, and pivot across Microsoft 365 services.	cybersecurity	identity-access-management	 device-code-phishing oauth entra-id token-theft mfa-bypass illicit-consent tokentactics red-team
skills/auditing-aws-s3-bucket-permissions/SKILL.md	auditing-aws-s3-bucket-permissions	'Systematically audit AWS S3 bucket permissions to identify publicly	cybersecurity	cloud-security	 cloud-security aws s3 bucket-permissions data-protection access-control
skills/auditing-azure-active-directory-configuration/SKILL.md	auditing-azure-active-directory-configuration	'Auditing Microsoft Entra ID (Azure Active Directory) configuration to	cybersecurity	cloud-security	 cloud-security azure entra-id active-directory iam-audit conditional-access
skills/auditing-cloud-with-cis-benchmarks/SKILL.md	auditing-cloud-with-cis-benchmarks	'This skill details how to conduct cloud security audits using Center	cybersecurity	cloud-security	 cis-benchmarks cloud-audit compliance-assessment prowler security-hardening
skills/auditing-entra-id-with-aadinternals/SKILL.md	auditing-entra-id-with-aadinternals	Run Microsoft Entra ID tenant reconnaissance, token acquisition and manipulation, and federation backdoor testing with the AADInternals PowerShell toolkit to validate identity-attack resilience.	cybersecurity	identity-access-management	 aadinternals entra-id azure-ad saml-token-forgery federation-backdoor token-manipulation adfs red-team
skills/auditing-foundry-smart-contract-security/SKILL.md	auditing-foundry-smart-contract-security	>-	cybersecurity	blockchain-security	 solidity foundry forge smart-contract slither aderyn mythril reentrancy defi web3 invariant-testing audit
skills/auditing-gcp-iam-permissions/SKILL.md	auditing-gcp-iam-permissions	'Auditing Google Cloud Platform IAM permissions to identify overly permissive	cybersecurity	cloud-security	 cloud-security gcp iam permissions-audit service-accounts policy-analyzer
skills/auditing-kubernetes-cluster-rbac/SKILL.md	auditing-kubernetes-cluster-rbac	'Auditing Kubernetes cluster RBAC configurations to identify overly permissive	cybersecurity	cloud-security	 cloud-security kubernetes rbac access-control eks gke aks
skills/auditing-kubernetes-rbac-privilege-escalation/SKILL.md	auditing-kubernetes-rbac-privilege-escalation	Find over-permissive RBAC roles and service-account token abuse paths in Kubernetes using kubectl auth can-i, rbac-police, kubectl-who-can, and rakkess during authorized cluster security reviews.	cybersecurity	container-security	 kubernetes rbac privilege-escalation service-account least-privilege kubectl access-control attack-paths
skills/auditing-mcp-servers-for-tool-poisoning/SKILL.md	auditing-mcp-servers-for-tool-poisoning	Scan Model Context Protocol servers and tool metadata for poisoning, SSRF, and unauthenticated exposure.	cybersecurity	ai-security	 ai-security mcp tool-poisoning agent-security mcp-scan ssrf supply-chain rug-pull
skills/auditing-terraform-infrastructure-for-security/SKILL.md	auditing-terraform-infrastructure-for-security	'Auditing Terraform infrastructure-as-code for security misconfigurations	cybersecurity	cloud-security	 cloud-security terraform infrastructure-as-code checkov tfsec policy-as-code
skills/auditing-tls-certificate-transparency-logs/SKILL.md	auditing-tls-certificate-transparency-logs	'Monitors Certificate Transparency (CT) logs to detect unauthorized certificate	cybersecurity	threat-intelligence	 certificate-transparency CT-logs crt-sh subdomain-discovery TLS-monitoring RFC-6962
skills/auditing-uefi-firmware-with-chipsec/SKILL.md	auditing-uefi-firmware-with-chipsec	Use Intel CHIPSEC to assess platform firmware configuration, SPI flash write protection, BIOS lock, SMM/SMRR, and Secure Boot variable state, dump SPI flash, and triage UEFI variables for firmware-level threats.	cybersecurity	hardware-firmware-security	 hardware-firmware-security uefi chipsec spi-flash bios-write-protection secure-boot firmware-assessment platform-security
skills/automating-ioc-enrichment/SKILL.md	automating-ioc-enrichment	'Automates the enrichment of raw indicators of compromise with multi-source	cybersecurity	threat-intelligence	 SOAR enrichment IOC Cortex-XSOAR Splunk-SOAR VirusTotal automation CTI NIST-CSF
skills/benchmarking-kubernetes-with-kube-bench/SKILL.md	benchmarking-kubernetes-with-kube-bench	Run CIS Kubernetes Benchmark checks and remediate findings with kube-bench.	cybersecurity	container-security	 kubernetes kube-bench cis-benchmark container-security hardening compliance cluster-security
skills/building-adversary-infrastructure-tracking-system/SKILL.md	building-adversary-infrastructure-tracking-system	Build an automated system to track adversary infrastructure using passive	cybersecurity	threat-intelligence	 infrastructure-tracking passive-dns c2 whois threat-actor pivoting threat-intelligence domain-analysis
skills/building-attack-pattern-library-from-cti-reports/SKILL.md	building-attack-pattern-library-from-cti-reports	Extract and catalog attack patterns from cyber threat intelligence reports	cybersecurity	threat-intelligence	 attack-pattern cti-reports mitre-attack stix detection-engineering threat-intelligence nlp extraction
skills/building-automated-malware-submission-pipeline/SKILL.md	building-automated-malware-submission-pipeline	'Builds an automated malware submission and analysis pipeline that collects	cybersecurity	soc-operations	 soc malware-analysis sandbox automation virustotal cuckoo any-run pipeline
skills/building-c2-infrastructure-with-sliver-framework/SKILL.md	building-c2-infrastructure-with-sliver-framework	Build and configure a resilient command-and-control infrastructure using	cybersecurity	red-teaming	 red-team c2-framework sliver command-and-control adversary-simulation infrastructure post-exploitation
skills/building-c2-redirector-infrastructure/SKILL.md	building-c2-redirector-infrastructure	Architect redirectors with nginx and Apache, malleable profiles, and OPSEC	cybersecurity	red-teaming	 red-team c2-infrastructure redirector nginx apache-mod-rewrite malleable-c2 opsec traffic-filtering
skills/building-cloud-siem-with-sentinel/SKILL.md	building-cloud-siem-with-sentinel	'This skill covers deploying Microsoft Sentinel as a cloud-native SIEM	cybersecurity	cloud-security	 microsoft-sentinel cloud-siem kql-queries soar-automation threat-detection
skills/building-detection-rule-with-splunk-spl/SKILL.md	building-detection-rule-with-splunk-spl	Build effective detection rules using Splunk Search Processing Language	cybersecurity	soc-operations	 splunk spl detection-engineering correlation-search siem soc threat-detection enterprise-security
skills/building-detection-rules-with-sigma/SKILL.md	building-detection-rules-with-sigma	'Builds vendor-agnostic detection rules using the Sigma rule format for	cybersecurity	soc-operations	 soc sigma detection-rules siem mitre-attack splunk elastic sentinel
skills/building-devsecops-pipeline-with-gitlab-ci/SKILL.md	building-devsecops-pipeline-with-gitlab-ci	Design and implement a comprehensive DevSecOps pipeline in GitLab CI/CD	cybersecurity	devsecops	 gitlab-ci devsecops sast dast container-scanning dependency-scanning secret-detection cicd-security
skills/building-identity-federation-with-saml-azure-ad/SKILL.md	building-identity-federation-with-saml-azure-ad	Establish SAML 2.0 identity federation between on-premises Active Directory	cybersecurity	identity-access-management	 saml azure-ad entra-id federation identity sso adfs hybrid-identity
skills/building-identity-governance-lifecycle-process/SKILL.md	building-identity-governance-lifecycle-process	'Builds comprehensive identity governance and lifecycle management processes	cybersecurity	identity-access-management	 identity-governance lifecycle-management JML access-provisioning RBAC IGA
skills/building-incident-response-dashboard/SKILL.md	building-incident-response-dashboard	'Builds real-time incident response dashboards in Splunk, Elastic, or	cybersecurity	soc-operations	 soc dashboard incident-response splunk visualization situational-awareness metrics
skills/building-incident-response-playbook/SKILL.md	building-incident-response-playbook	'Designs and documents structured incident response playbooks that define	cybersecurity	incident-response	 IR-playbook runbook NIST-800-61 SOAR-integration response-procedures
skills/building-incident-timeline-with-timesketch/SKILL.md	building-incident-timeline-with-timesketch	Build collaborative forensic incident timelines using Timesketch to ingest,	cybersecurity	incident-response	 timesketch timeline-analysis forensic-timeline plaso dfir incident-investigation collaborative-forensics
skills/building-ioc-defanging-and-sharing-pipeline/SKILL.md	building-ioc-defanging-and-sharing-pipeline	Build an automated pipeline to defang indicators of compromise (URLs,	cybersecurity	threat-intelligence	 ioc defanging threat-sharing stix pipeline indicator automation threat-intelligence
